run,model,strategy,tp,dp,a2a,workload,conc,prompts,in,out,tok/s,req/s,ttft_mean,ttft_p99,itl_mean,itl_p99,e2e_mean,e2e_p99,gpus,mem_before_mb,mem_after_mb,util_before,util_after
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,long_prompt,4,20,1024,512,504.05,0.98,50.41,68.93,7.84,8.71,7.84,8.41,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,long_prompt,8,20,1024,512,688.72,1.35,77.87,98.8,9.92,12.25,9.92,11.38,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,long_prompt,16,20,1024,512,896.47,1.75,116.12,147.92,13.01,15.72,13.01,14.36,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,long_prompt,32,20,1024,512,1125.29,2.2,171.3,192.41,17.43,18.89,17.43,17.45,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,long_prompt,64,20,1024,512,1122.77,2.19,163.9,180.88,17.49,18.68,17.49,17.53,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,medium_prompt,2,50,512,256,313.27,1.22,28.86,38.87,6.3,6.83,6.3,6.62,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,medium_prompt,4,50,512,256,507.57,1.98,41.9,53.33,7.5,8.79,7.5,8.52,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,medium_prompt,8,50,512,256,775.65,3.03,52.78,71.05,9.43,11.61,9.43,11.07,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,medium_prompt,16,50,512,256,1106.37,4.32,79.84,107.83,12.57,15.15,12.57,13.77,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,medium_prompt,32,50,512,256,1531.95,5.98,112.46,171.57,16.44,19.19,16.44,17.74,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,medium_prompt,64,50,512,256,2178.43,8.51,196.01,233.94,22.15,23.61,22.14,22.24,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,1,100,128,128,192.59,1.5,30.06,31.57,5,5.36,5,5,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,2,100,128,128,316.37,2.47,26.16,33.75,6.16,6.67,6.16,6.42,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,4,100,128,128,511.37,4,34.92,43.17,7.6,8.63,7.6,8.35,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,8,100,128,128,773.54,6.04,44.43,58.56,9.75,15.81,9.75,10.79,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,16,100,128,128,1155.24,9.03,61.29,98.81,12.56,18.59,12.56,13.64,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,32,100,128,128,1708.01,13.34,89.8,124.44,15.97,20.13,15.97,16.76,1,37650,37650,0,0
single,Qwen1.5-MoE-A2.7B,baseline_no_ep,1,,,short_prompt,64,100,128,128,2430.01,18.98,166.78,234.51,19.78,23.74,19.78,21.04,1,37650,37650,0,0
