run,model,strategy,tp,dp,a2a,workload,conc,prompts,in,out,tok/s,req/s,ttft_mean,ttft_p99,itl_mean,itl_p99,e2e_mean,e2e_p99,gpus,mem_before_mb,mem_after_mb,util_before,util_after
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,8,20,1024,512,268.84,0.53,142.3,179.29,24.55,28.65,24.55,24.67,4,37145,37145,0,2.25
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,16,20,1024,512,400.62,0.78,197.32,236.07,24.8,28.28,24.8,25.03,4,37145,37145,0,5
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,32,20,1024,512,784.59,1.53,294.26,310.02,24.94,29.55,24.94,25.15,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,64,20,1024,512,789.24,1.54,297.41,313.44,24.79,29.04,24.79,25.01,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,balanced,128,20,1024,512,788.37,1.54,294.16,309.44,24.82,28.59,24.82,25.03,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,1,100,128,128,43.18,0.34,84.6,93.28,22.67,26.76,22.67,24.15,4,37143,37145,0,1
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,4,100,128,128,157.33,1.23,119.08,724.24,24.68,28.75,24.68,29.45,4,37145,37145,1,5.5
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,8,100,128,128,303.2,2.37,154.27,571.72,24.37,28.15,24.37,25.17,4,37145,37145,0,6.75
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,16,100,128,128,544.93,4.26,206.06,508.83,24.99,30.08,24.99,26.72,4,37145,37145,0,1.5
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,32,100,128,128,780.29,6.1,390.13,644.9,31.42,34.84,31.42,33.61,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,64,100,128,128,911.19,7.12,701.82,1033.17,52.67,68.32,52.67,63.11,4,37145,37145,0,4.75
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,128,100,128,128,924.67,7.22,1517.98,1856.37,96.68,101.6,96.68,106.25,4,37145,37145,0,7
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,1,50,512,256,42.64,0.17,211.27,229.76,22.71,26.72,22.71,23.38,4,37145,37145,0,0.5
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,4,50,512,256,157.01,0.61,83.52,108.55,24.25,28.07,24.25,24.56,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,8,50,512,256,286.99,1.12,146.89,177.59,24.43,27.96,24.43,25.04,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,16,50,512,256,497.21,1.94,176.86,212.42,24.67,28.44,24.67,25.04,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,32,50,512,256,851.17,3.32,299.34,415.62,29.38,34.02,29.38,32.31,4,37145,37145,0,0.5
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,64,50,512,256,974.84,3.81,439.39,584.9,49.62,52.23,49.62,50.03,4,37145,37145,0,3
multi,OLMoE-1B-7B-0924,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,128,50,512,256,963.68,3.76,534.22,640.13,49.86,53,49.86,50.87,4,37145,37145,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,1,20,1024,512,56.82,0.11,32.97,35.99,17.57,19.9,17.57,18.52,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,4,20,1024,512,213.93,0.42,63.87,75.13,18.6,20.56,18.6,18.72,2,74757,74757,0,1.5
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,8,20,1024,512,353.49,0.69,75.03,87.68,18.74,20.74,18.74,18.85,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,16,20,1024,512,529.88,1.03,99.92,121.66,18.8,20.46,18.8,18.85,2,74757,74757,0,4
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,32,20,1024,512,1060.48,2.07,130.06,136.9,18.63,20.52,18.63,18.64,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,64,20,1024,512,1056.2,2.06,119.7,126.08,18.72,20.92,18.72,18.73,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,balanced,128,20,1024,512,1055.58,2.06,125.95,132.8,18.72,22.02,18.72,18.74,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,1,100,128,128,56.18,0.44,33.39,36.42,17.67,19.08,17.67,18.26,2,74755,74757,0,16.5
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,4,100,128,128,203.96,1.59,90.13,1018.39,19.05,20.92,19.05,19.77,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,8,100,128,128,370.64,2.9,144.16,719.09,19.81,22.48,19.81,23.36,2,74757,74757,0,16
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,16,100,128,128,689.79,5.39,190.29,648.89,19.56,23.04,19.56,23.67,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,32,100,128,128,1216.46,9.5,241.16,611,19.32,23.02,19.32,23.17,2,74757,74757,0,10.5
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,64,100,128,128,2454.44,19.18,154.51,190.09,19.32,23.7,19.32,19.34,2,74757,74757,0,3
multi,OLMoE-1B-7B-0924,tp_only,2,1,,decode_heavy,128,100,128,128,4741.48,37.04,207.83,232.99,19.34,24.33,19.34,19.39,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,1,50,512,256,56.43,0.22,30.79,35.19,17.67,19.63,17.67,18.81,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,4,50,512,256,201.46,0.79,56.35,78.13,18.95,21.05,18.95,19.99,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,8,50,512,256,366.12,1.43,71.62,80.09,19.28,21.4,19.28,19.78,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,16,50,512,256,626.42,2.45,84.79,99.3,19.62,21.4,19.62,20.22,2,74757,74757,0,6.5
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,32,50,512,256,1295.22,5.06,109.45,132.42,18.97,21.66,18.97,19.01,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,64,50,512,256,2513.49,9.82,174.88,185.23,19.21,21.45,19.21,19.22,2,74757,74757,0,0
multi,OLMoE-1B-7B-0924,tp_only,2,1,,prefill_heavy,128,50,512,256,2230.48,8.71,665.58,816.25,19.82,21.62,19.82,21.72,2,74757,74757,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,1,20,1024,512,36.55,0.07,37.12,39.73,27.34,29.42,27.34,28.62,2,74853,74853,0,3
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,4,20,1024,512,143.26,0.28,84.38,101.71,27.8,30.49,27.8,29.02,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,8,20,1024,512,242.05,0.47,100.62,114.05,27.39,28.49,27.39,27.53,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,16,20,1024,512,367.25,0.72,126.75,145.25,26.89,28.43,26.89,27.35,2,74853,74853,0,2
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,32,20,1024,512,706.8,1.38,145.46,152.73,28.05,29.21,28.05,28.07,2,74853,74853,0,7
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,64,20,1024,512,706.51,1.38,158.4,165.77,28.04,29.57,28.04,28.07,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,balanced,128,20,1024,512,704.5,1.38,147.45,154.62,28.14,29.89,28.14,28.15,2,74853,74853,0,4
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,1,100,128,128,36.57,0.29,41.01,42.77,27.23,29.12,27.23,28.74,2,74847,74847,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,4,100,128,128,139.38,1.09,124.97,1506.83,27.93,29.59,27.93,34.87,2,74847,74847,0,2.5
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,8,100,128,128,270.25,2.11,129.26,749.13,27.63,29.65,27.63,28.94,2,74847,74853,0,2.5
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,16,100,128,128,507.53,3.97,151.69,549.06,27.24,38.61,27.24,29.8,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,32,100,128,128,826.56,6.46,142.86,780.42,29.52,34.01,29.52,32.06,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,64,100,128,128,1394.83,10.9,613.86,793.85,32.56,501.9,32.56,34.74,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,decode_heavy,128,100,128,128,3070.02,23.98,204.12,224.51,29.73,31.55,29.73,31.04,2,74853,74853,0,2.5
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,1,50,512,256,36.49,0.14,34.22,37.46,27.37,29.35,27.37,29.1,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,4,50,512,256,135.67,0.53,84.52,94.78,28.12,29.63,28.12,29.08,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,8,50,512,256,257.44,1.01,85.02,100.07,27.4,29.12,27.4,28.47,2,74853,74853,0,0.5
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,16,50,512,256,464.68,1.82,105.7,113.94,26.61,27.58,26.61,26.79,2,74853,74853,0,2.5
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,32,50,512,256,910.68,3.56,138.99,154.45,27.03,28.59,27.03,27.16,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,64,50,512,256,1606.29,6.27,241.76,252.22,30.26,31.21,30.26,30.37,2,74853,74853,0,0
multi,Qwen1.5-MoE-A2.7B,ep_only,1,,allgather_reducescatter,prefill_heavy,128,50,512,256,1805.12,7.05,212.51,227.68,26.89,27.65,26.89,26.89,2,74853,74853,0,1.5
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,1,20,1024,512,29.06,0.06,330.52,342.07,33.83,38.78,33.83,34.12,4,37365,37365,0,4.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,4,20,1024,512,116.76,0.23,109.88,142.39,34.1,39.59,34.1,34.59,4,37365,37365,0,4.75
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,8,20,1024,512,193.65,0.38,167.03,201.1,34.21,38.29,34.21,34.39,4,37365,37365,0,3.5
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,16,20,1024,512,289,0.56,242.14,285.52,34.47,39.67,34.47,34.75,4,37365,37365,0,2.75
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,32,20,1024,512,561.85,1.1,312.35,327.99,35.04,38.57,35.04,35.26,4,37365,37365,0,2.75
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,64,20,1024,512,559.56,1.09,315.4,331.49,35.18,38.79,35.18,35.39,4,37365,37365,0,0
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,balanced,128,20,1024,512,558.8,1.09,327.25,343.82,35.2,39.82,35.2,35.44,4,37365,37365,0,0
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,1,100,128,128,29.34,0.23,92.01,96.76,33.62,38.87,33.62,35.13,4,37358.5,37358.5,0,7
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,4,100,128,128,112.95,0.88,149.91,1388.64,34.51,40.37,34.51,40.89,4,37358.5,37358.5,0,3.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,8,100,128,128,218.27,1.71,180.45,1024.95,34.1,40.86,34.1,41.06,4,37358.5,37358.5,0,1.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,16,100,128,128,387.98,3.03,365.35,831.75,34.41,39.3,34.41,39.52,4,37358.5,37364.5,0,0
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,32,100,128,128,525.35,4.1,536.02,965.88,47.46,53.55,47.46,56.62,4,37364.5,37364.5,0,0.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,64,100,128,128,636.89,4.98,803.08,1444.12,79.83,417.4,79.83,101.67,4,37364.5,37364.5,0,5.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,decode_heavy,128,100,128,128,647.79,5.06,1659.72,1983.03,142.08,241.97,142.08,152.38,4,37364.5,37364.5,0,10.75
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,1,50,512,256,28.83,0.11,221.31,245.9,33.95,39.59,33.95,35.39,4,37364.5,37364.5,0,7
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,4,50,512,256,111.59,0.44,104.61,131.77,34.19,39.79,34.19,35.03,4,37364.5,37364.5,0.75,0.75
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,8,50,512,256,204.88,0.8,149.26,191.37,34.46,40.6,34.46,35.73,4,37364.5,37364.5,0,0
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,16,50,512,256,357.07,1.39,187.14,244.65,34.67,39.81,34.67,35,4,37364.5,37365,0,1
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,32,50,512,256,589.16,2.3,380.29,473.06,42.61,49.23,42.61,46.71,4,37365,37365,0,1.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,64,50,512,256,659.72,2.58,1207.32,1483.14,71.2,74.66,71.2,74.57,4,37365,37365,0,0.25
multi,Qwen1.5-MoE-A2.7B,tp_ep_hybrid,2,,allgather_reducescatter,prefill_heavy,128,50,512,256,689.9,2.69,529.01,668.92,70.54,73.88,70.54,71.33,4,37365,37365,0,4.25
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,1,20,1024,512,37.06,0.07,35.13,40.68,26.97,28.06,26.97,27.12,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,4,20,1024,512,147.73,0.29,76.62,84.25,26.97,28.46,26.97,27.02,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,8,20,1024,512,245.25,0.48,90.79,108.44,27.08,28.13,27.08,27.17,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,16,20,1024,512,369.1,0.72,123.07,140.48,26.87,27.88,26.87,27.03,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,32,20,1024,512,739.85,1.45,138.9,145.02,26.8,27.63,26.8,26.81,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,64,20,1024,512,738.96,1.44,140.71,147,26.83,27.82,26.83,26.84,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,balanced,128,20,1024,512,739.58,1.44,138.45,144.94,26.81,27.53,26.81,26.83,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,1,100,128,128,36.9,0.29,41.41,45.61,26.99,28.26,26.99,27.19,2,74165,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,4,100,128,128,143.34,1.12,111.77,1075.38,27.23,28.43,27.23,34.71,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,8,100,128,128,273.5,2.14,147.5,803.16,27.05,28.44,27.05,31.01,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,16,100,128,128,514.8,4.02,153.79,575.92,26.8,29.01,26.8,26.94,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,32,100,128,128,876.71,6.85,106.93,113.39,28.19,29.36,28.19,31.15,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,64,100,128,128,1444.34,11.28,494.42,807.47,32.86,528.9,32.86,40.44,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,decode_heavy,128,100,128,128,2316.71,18.1,747.7,835.81,36.89,553.9,36.89,37.76,2,74169,74169,0,0.5
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,1,50,512,256,37.02,0.14,33.54,39.57,26.99,28.19,26.99,27.1,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,4,50,512,256,141.63,0.55,81.74,94.06,26.95,28.07,26.95,26.99,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,8,50,512,256,263.35,1.03,83.85,100.33,26.9,27.78,26.9,26.97,2,74169,74169,0,9
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,16,50,512,256,462.87,1.81,102.29,110.94,26.72,28.09,26.72,26.93,2,74169,74169,0,0
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,32,50,512,256,916.79,3.58,123.6,140.49,26.89,29,26.89,26.9,2,74169,74169,0,4.5
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,64,50,512,256,1785.57,6.97,179.44,201.34,27.32,28.32,27.32,27.35,2,74169,74169,0,1
multi,Qwen1.5-MoE-A2.7B,tp_only,2,1,,prefill_heavy,128,50,512,256,1797.48,7.02,177.25,193.88,27.14,29.02,27.14,27.16,2,74169,74169,0,7.5
single,LLaDA-8B-Instruct,baseline_no_ep,1,,,gen_128,1,5,,,50.6,,,,,,,,1,0,0,1,22
single,LLaDA-8B-Instruct,baseline_no_ep,1,,,gen_256,1,5,,,96.1,,,,,,,,1,0,0,22,0
single,LLaDA-8B-Instruct,baseline_no_ep,1,,,gen_64,1,5,,,24.8,,,,,,,,1,0,0,31,1
single,LLaDA-8B-Instruct,baseline_no_ep,1,,,steps_128,1,5,,,24.3,,,,,,,,1,0,0,0,0
single,LLaDA-8B-Instruct,baseline_no_ep,1,,,steps_32,1,5,,,99.1,,,,,,,,1,0,0,0,0
single,LLaDA-8B-Instruct,baseline_no_ep,1,,,steps_64,1,5,,,49.5,,,,,,,,1,0,0,0,0
single,LLaDA-MoE-7B-A1B-Instruct,baseline_no_ep,1,,,gen_128,1,5,,,5,,,,,,,,1,0,0,1,4
single,LLaDA-MoE-7B-A1B-Instruct,baseline_no_ep,1,,,gen_256,1,5,,,9.9,,,,,,,,1,0,0,4,33
single,LLaDA-MoE-7B-A1B-Instruct,baseline_no_ep,1,,,gen_64,1,5,,,2.6,,,,,,,,1,0,0,26,1
single,LLaDA-MoE-7B-A1B-Instruct,baseline_no_ep,1,,,steps_128,1,5,,,2.5,,,,,,,,1,0,0,1,26
single,LLaDA-MoE-7B-A1B-Instruct,baseline_no_ep,1,,,steps_32,1,5,,,10.1,,,,,,,,1,0,0,0,27
single,LLaDA-MoE-7B-A1B-Instruct,baseline_no_ep,1,,,steps_64,1,5,,,4.9,,,,,,,,1,0,0,27,1
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,1,20,1024,512,23.7,0.05,134.45,138.82,42.03,47.59,42.02,42.5,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,2,20,1024,512,46.59,0.09,113.05,146.34,42.8,48.37,42.79,43.12,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,4,20,1024,512,92.71,0.18,132.97,149.59,42.98,48.89,42.97,43.48,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,8,20,1024,512,154.71,0.3,154.13,185.74,42.91,48.16,42.91,43.04,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,16,20,1024,512,231.46,0.45,173.63,189.32,43.28,49.88,43.28,43.57,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,32,20,1024,512,452.36,0.88,241.74,249.99,43.81,48.39,43.81,43.92,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,long_prompt,64,20,1024,512,445.44,0.87,259.27,268.47,44.47,52.47,44.47,44.59,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,1,50,512,256,23.81,0.09,108.57,112.22,41.77,47.53,41.74,42.34,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,2,50,512,256,46.57,0.18,105.15,141.35,42.71,48.35,42.7,43.04,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,4,50,512,256,89.57,0.35,124.32,147.98,42.65,48.72,42.63,44.08,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,8,50,512,256,164.34,0.64,140.94,157.3,43.19,48.97,43.17,43.74,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,16,50,512,256,287.99,1.12,159.54,186.2,43.09,51.19,43.09,43.33,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,32,50,512,256,557.76,2.18,194.03,252.89,44.44,51.94,44.44,44.88,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,medium_prompt,64,50,512,256,1084.93,4.24,339.15,352.45,45.07,50.84,44.9,45.48,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,1,100,128,128,23.83,0.19,92.98,104.56,41.62,47.49,41.56,42.45,1,77728,77734,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,2,100,128,128,46.35,0.36,110.08,142.27,42.64,48.13,42.62,43.48,1,77734,77734,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,4,100,128,128,92.82,0.73,124.07,158.42,42.5,47.91,42.45,43.21,1,77734,77734,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,8,100,128,128,178.17,1.39,132.68,154.4,42.51,49.36,42.45,43.15,1,77734,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,16,100,128,128,324.86,2.54,145.41,205.22,43.15,49.54,43.15,43.97,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,32,100,128,128,558.78,4.37,178.74,206.71,44.01,50.87,44.01,44.51,1,77736,77736,0,0
single,Mixtral-8x7B-Instruct-v0.1,baseline_no_ep,1,,,short_prompt,64,100,128,128,1080.58,8.44,296.44,363.8,44.48,49.27,44.48,45.52,1,77736,77736,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,1,20,2048,512,44.05,0.09,70.94,153.72,22.61,26.2,22.61,22.91,1,73624,73624,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,1,20,1024,512,74.28,0.15,36.08,40.55,13.42,14.04,13.42,13.49,2,19460,19460,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,2,20,2048,512,86.49,0.17,106.17,233.06,22.96,26.7,22.96,23.19,1,73624,73624,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,2,20,1024,512,145.23,0.28,45.51,54.68,13.71,14.4,13.71,13.75,2,19460,19460,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,4,20,2048,512,171.43,0.33,153.31,337.32,23.07,26.64,23.07,23.19,1,73624,73624,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,4,20,1024,512,288.3,0.56,51.34,61.49,13.8,14.63,13.8,13.84,2,19460,19460,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,8,20,2048,512,281.83,0.55,221.3,507.84,23.37,28.72,23.37,23.53,1,73624,73624,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,8,20,1024,512,479.26,0.94,59.54,78.47,13.84,14.8,13.84,13.87,2,19460,19460,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,16,20,2048,512,419.87,0.82,492.05,912.23,23.56,41.89,23.56,23.99,1,73624,73624,0,0
single,OLMoE-1B-7B-0924,baseline_no_ep,1,,,long_prompt,16,20,1024,512,713.31,1.39,91.71,106.69,13.95,15.26,13.95,14.01,2,19460,19460,0,0
